病院名,住所,電話番号,公式サイトURL,緯度,経度,有効フラグ,ふりがな,医療圏,診療科目
﻿麻生整形外科クリニック,宮崎市高岡町内山３１２７,0985-82-0005,,,,1,ｱｿｳｾｲｹｲｹﾞｶ,宮崎市,整　内
﻿たじり皮膚科医院,宮崎市清武町加納２丁目４１－１,0985-84-1110,,,,1,ﾀｼﾞﾘﾋﾌｶ,宮崎市,皮
﻿ゆげレディスクリニック,宮崎市橘通東４－８－１カリーノ宮崎３F,0985-77-8288,,,,1,ﾕｹﾞﾚﾃﾞｨｽｸﾘﾆｯｸ,宮崎市,婦
﻿大工町すぎえ腎泌尿器科・内科,宮崎市大工１－１０－２８ひむかワールドビル２０２,0985-78-3010,,,,1,ﾀﾞｲｸﾏﾁｽｷﾞｴ,宮崎市,泌　内
﻿すみよし中央眼科,宮崎市大字島之内字井出下７４０３番３,0985-86-8555,,,,1,ｽﾐﾖｼﾁｭｳｵｳ,宮崎市,眼
﻿佐土原病院,宮崎市佐土原町上田島３８７３,0985-74-0012,,,,1,ｻﾄﾞﾜﾗﾋﾞｮｳｲﾝ,宮崎市,耳鼻咽喉
﻿ごとう整形外科,宮崎市阿波岐原町坂元２０１１－３,0985-61-6161,,,,1,ｺﾞﾄｳｾｲｹｲｹﾞｶ,宮崎市,整
﻿やまもと整形外科,宮崎市池内町９８４－１,0985-89-5800,,,,1,ﾔﾏﾓﾄｾｲｹｲｹﾞｶ,宮崎市,整
﻿かわそえクリニック,宮崎市大島町原ノ前１４４５－６５,0985-78-3077,,,,1,ｶﾜｿｴｸﾘﾆｯｸ,宮崎市,脳外
﻿いきめ大腸・肛門外科内科,宮崎市大字浮田３０９９番地１,0985-48-2500,,,,1,ｲｷﾒﾀﾞｲﾁｮｳｺｳﾓﾝｶ,宮崎市,胃　肛　消
﻿ひろの内科クリニック,宮崎市大字本郷北方字山崎３５８２－１,0985-52-7311,,,,1,ﾋﾛﾉﾅｲｶ,宮崎市,内　消　胃
﻿やまもと胃腸内科,宮崎市太田４丁目１－５－１,0985-82-6370,,,,1,ﾔﾏﾓﾄﾅｲｶ,宮崎市,胃　内
﻿ながとも糖尿病内科,宮崎市村角町灰作１４３３番１,0985-61-3181,,,,1,ﾅｶﾞﾄﾓﾄｳﾆｮｳﾋﾞｮｳ,宮崎市,糖内　内
﻿ながやま小児科アレルギークリニック,宮崎市丸山２丁目３２－１,0985-22-7851,,,,1,ﾅｶﾞﾔﾏｼｮｳﾆｶ,宮崎市,小
﻿辰元病院,宮崎市高岡町飯田２０８９－１,0985-82-3531,,,,1,ﾀﾂﾓﾄﾋﾞｮｳｲﾝ,宮崎市,内　循
﻿かわはら整形外科リハビリテーションクリニック,宮崎市清武町加納４丁目２０番,0985-67-6070,,,,1,ｶﾜﾊﾗｾｲｹｲｹﾞｶ,宮崎市,整　リハ
﻿花ケ島ウィメンズクリニック,宮崎市花ケ島町観音免８９４番地,0985-25-8883,,,,1,ﾊﾅｶﾞｼﾏｳｲﾒﾝｽﾞ,宮崎市,産婦
﻿南宮崎ヤマモト腎泌尿器科,宮崎市大字恒久１３８３－１,0985-71-2888,,,,1,ﾐﾅﾐﾐﾔｻﾞｷﾔﾏﾓﾄ,宮崎市,泌　内
﻿いきめ皮膚科,宮崎市大字小松３０２４－１,0985-72-7803,,,,1,ｲｷﾒﾋﾌｶ,宮崎市,皮
﻿大塚小松台眼科,宮崎市大塚町無量寺道下７８－３,0985-75-0100,,,,1,ｵｵﾂｶｺﾏﾂﾀﾞｲ,宮崎市,眼
﻿春田耳鼻咽喉科医院,宮崎市佐土原町下田島２００６３,0985-73-0020,,,,1,ﾊﾙﾀｼﾞﾋﾞｲﾝｺｳｶ,宮崎市,耳鼻咽喉
﻿宮元整形外科医院,宮崎市佐土原町下田島１２３７２,0985-73-0633,,,,1,ﾐﾔﾓﾄｾｲｹｲｹﾞｶ,宮崎市,整
﻿小島医院,宮崎市権現町７９－１,0985-31-6001,,,,1,ｺｼﾞﾏｲｲﾝ,宮崎市,外　内　消　リハ
﻿潤和会記念病院,宮崎市大字小松１１１９番地,0985-47-5555,,,,1,ｼﾞｭﾝﾜｶｲｷﾈﾝﾋﾞｮｳｲﾝ,宮崎市,外
﻿すずき内科クリニック,宮崎市大島町東ノ前１１４３番３,0985-26-1513,,,,1,ｽｽﾞｷﾅｲｶ,宮崎市,内　循
﻿生目台カリヨンクリニック,宮崎市生目台東４－６－１,0985-77-7501,,,,1,ｲｷﾒﾀﾞｲｶﾘﾖﾝ,宮崎市,内　外　消内　消外
﻿このはな生協クリニック,宮崎市大字熊野１６１３,0985-58-1222,,,,1,ｺﾉﾊﾅｾｲｷｮｳ,宮崎市,内
﻿ひなた赤ちゃんこどもクリニック,宮崎市吉村町大田ケ島甲４０６－２,0985-89-3333,,,,1,ﾋﾅﾀｱｶﾁｬﾝｺﾄﾞﾓ,宮崎市,小
﻿田中外科内科医院,国富町大字本庄１９４６番地,0985-75-8585,,,,1,ﾀﾅｶｹﾞｶﾅｲｶ,宮崎市,内　胃　消内　呼
﻿加納さくら消化器・内視鏡クリニック,宮崎市清武町加納字町ノ前乙３８２番地５－２,0985-41-7188,,,,1,ｶﾉｳｻｸﾗｼｮｳｶｷ,宮崎市,内　消内
